epoch,accuracy,loss,val_accuracy,val_loss
0,0.3667312562465668,1.3263388872146606,0.46109509468078613,1.2566442489624023
1,0.6579020023345947,0.9796327352523804,0.6426513195037842,0.9085310697555542
2,0.794353723526001,0.5780380964279175,0.680115282535553,0.8006294369697571
3,0.8425131440162659,0.41590869426727295,0.6858789920806885,0.8030251860618591
4,0.8776639699935913,0.33298447728157043,0.6858789920806885,0.8147811889648438
5,0.9022972583770752,0.2817540168762207,0.6916426420211792,0.9100311994552612
6,0.9169664978981018,0.2310705929994583,0.6685879230499268,0.9427037239074707
7,0.9410462379455566,0.18993625044822693,0.6772334575653076,1.0313525199890137
8,0.9454746842384338,0.16710177063941956,0.680115282535553,1.118902564048767
9,0.9543315768241882,0.144941508769989,0.680115282535553,1.1383471488952637
10,0.9626349210739136,0.12909983098506927,0.6541786789894104,1.2131119966506958
11,0.9656794667243958,0.11723083257675171,0.6657060384750366,1.269209384918213
12,0.9684472680091858,0.10683337599039078,0.6743515729904175,1.3114454746246338
13,0.9665098190307617,0.10256132483482361,0.6657060384750366,1.3758586645126343
14,0.9717686176300049,0.09097500145435333,0.6772334575653076,1.4027025699615479
15,0.972875714302063,0.0908532440662384,0.6657060384750366,1.4446537494659424
16,0.9712150692939758,0.08684514462947845,0.6743515729904175,1.4677271842956543
17,0.9745364189147949,0.08044201135635376,0.6657060384750366,1.5172958374023438
18,0.9731525182723999,0.07523689419031143,0.6599423885345459,1.5253167152404785
19,0.9761970639228821,0.0777309387922287,0.6570605039596558,1.5767921209335327
20,0.976473867893219,0.06916169822216034,0.6628242135047913,1.6387779712677002
21,0.9781345129013062,0.07137945294380188,0.6628242135047913,1.6091396808624268
22,0.9753667116165161,0.0694085881114006,0.6714697480201721,1.6357070207595825
23,0.9775809645652771,0.06349458545446396,0.639769434928894,1.6921027898788452
24,0.9784113168716431,0.0643131285905838,0.6282420754432678,1.720597743988037
